Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.7315088536534385,0.7161644970749644,0.6612021857923497,0.6766467065868264,0.6174863387978142,0.6457142857142857,0.32364375986992433
Fold_2,0.6682194153304071,0.6540251008997632,0.6256830601092896,0.6369047619047619,0.5846994535519126,0.6096866096866097,0.25221481640124477
Fold_3,0.727836005852668,0.6887996896430899,0.6693989071038251,0.6703296703296703,0.6666666666666666,0.6684931506849315,0.33880287266568
Fold_4,0.7189077010361611,0.7197621050835689,0.6557377049180327,0.6610169491525424,0.639344262295082,0.65,0.3116429598265778
Fold_5,0.7247006479739615,0.701765169301726,0.6612021857923497,0.664804469273743,0.6502732240437158,0.6574585635359116,0.32248141657109297
