FPR	TPR
0.0	0.0
0.0	0.00546448087431694
0.0	0.01639344262295082
0.0	0.02185792349726776
0.00546448087431694	0.02185792349726776
0.00546448087431694	0.0546448087431694
0.01092896174863388	0.0546448087431694
0.02185792349726776	0.0546448087431694
0.0273224043715847	0.0546448087431694
0.0273224043715847	0.07103825136612021
0.03278688524590164	0.07103825136612021
0.03278688524590164	0.07650273224043716
0.03825136612021858	0.07650273224043716
0.03825136612021858	0.1092896174863388
0.04371584699453552	0.1092896174863388
0.04371584699453552	0.11475409836065574
0.0546448087431694	0.11475409836065574
0.0546448087431694	0.13114754098360656
0.060109289617486336	0.13114754098360656
0.060109289617486336	0.14207650273224043
0.06557377049180328	0.14207650273224043
0.06557377049180328	0.14754098360655737
0.07103825136612021	0.14754098360655737
0.07103825136612021	0.15300546448087432
0.08196721311475409	0.15300546448087432
0.08196721311475409	0.16393442622950818
0.09289617486338798	0.16393442622950818
0.09289617486338798	0.17486338797814208
0.09289617486338798	0.18032786885245902
0.11475409836065574	0.18032786885245902
0.11475409836065574	0.1912568306010929
0.12568306010928962	0.1912568306010929
0.12568306010928962	0.20218579234972678
0.13114754098360656	0.20218579234972678
0.13114754098360656	0.20765027322404372
0.13114754098360656	0.2185792349726776
0.13114754098360656	0.22950819672131148
0.1366120218579235	0.22950819672131148
0.1366120218579235	0.25136612021857924
0.14207650273224043	0.25136612021857924
0.14207650273224043	0.2568306010928962
0.14754098360655737	0.2568306010928962
0.14754098360655737	0.2677595628415301
0.15300546448087432	0.2677595628415301
0.15300546448087432	0.273224043715847
0.16939890710382513	0.273224043715847
0.16939890710382513	0.28415300546448086
0.17486338797814208	0.28415300546448086
0.17486338797814208	0.2896174863387978
0.18032786885245902	0.2896174863387978
0.18032786885245902	0.30601092896174864
0.18579234972677597	0.30601092896174864
0.18579234972677597	0.3224043715846995
0.20765027322404372	0.3224043715846995
0.20765027322404372	0.32786885245901637
0.21311475409836064	0.32786885245901637
0.22404371584699453	0.3442622950819672
0.22404371584699453	0.3551912568306011
0.22404371584699453	0.366120218579235
0.22950819672131148	0.366120218579235
0.22950819672131148	0.37158469945355194
0.2677595628415301	0.37158469945355194
0.2677595628415301	0.3770491803278688
0.29508196721311475	0.3770491803278688
0.29508196721311475	0.3879781420765027
0.3005464480874317	0.3879781420765027
0.3005464480874317	0.3989071038251366
0.30601092896174864	0.3989071038251366
0.30601092896174864	0.40437158469945356
0.31693989071038253	0.40437158469945356
0.31693989071038253	0.41530054644808745
0.32786885245901637	0.41530054644808745
0.32786885245901637	0.4262295081967213
0.33879781420765026	0.4262295081967213
0.3442622950819672	0.4262295081967213
0.3442622950819672	0.43169398907103823
0.34972677595628415	0.43169398907103823
0.34972677595628415	0.4426229508196721
0.3551912568306011	0.4426229508196721
0.3551912568306011	0.44808743169398907
0.36065573770491804	0.44808743169398907
0.36065573770491804	0.45901639344262296
0.36065573770491804	0.4972677595628415
0.37158469945355194	0.4972677595628415
0.37158469945355194	0.5027322404371585
0.3770491803278688	0.5027322404371585
0.3770491803278688	0.5245901639344263
0.3879781420765027	0.5245901639344263
0.3879781420765027	0.5355191256830601
0.40437158469945356	0.5355191256830601
0.40437158469945356	0.5409836065573771
0.4098360655737705	0.5409836065573771
0.4098360655737705	0.5519125683060109
0.41530054644808745	0.5519125683060109
0.41530054644808745	0.5573770491803278
0.4426229508196721	0.5573770491803278
0.4426229508196721	0.5683060109289617
0.453551912568306	0.5683060109289617
0.453551912568306	0.5737704918032787
0.45901639344262296	0.5737704918032787
0.45901639344262296	0.5792349726775956
0.4644808743169399	0.5792349726775956
0.4644808743169399	0.5956284153005464
0.46994535519125685	0.5956284153005464
0.46994535519125685	0.6120218579234973
