iter	Logloss
0	0.6912566233
1	0.6899792035
2	0.6868577456
3	0.6847869266
4	0.6838073215
5	0.6786931004
6	0.6759286474
7	0.6737866955
8	0.6702641541
9	0.6668142504
10	0.6638756895
11	0.6605991848
12	0.6595430094
13	0.6550495478
14	0.649918766
15	0.6462503191
16	0.6441432933
17	0.6416841363
18	0.639308446
19	0.6367575509
20	0.6344180481
21	0.630707695
22	0.628914831
23	0.6273856228
24	0.6246754105
25	0.6224062076
26	0.6187871901
27	0.6154910959
28	0.613066728
29	0.6110024315
30	0.6076973561
31	0.6047626949
32	0.6031288571
33	0.6018708699
34	0.5993960486
35	0.597887443
36	0.5931390187
37	0.5902495924
38	0.5858610295
39	0.5826657917
40	0.5796114431
41	0.5785350074
42	0.5764147973
43	0.5728284339
44	0.5698426095
45	0.5676773789
46	0.5655547128
47	0.5621160351
48	0.5574238571
49	0.5511578974
50	0.5439873058
51	0.5392526915
52	0.5352112768
53	0.5290965383
54	0.5220766778
55	0.5179491145
56	0.5118258791
57	0.5066553172
58	0.499100873
59	0.4899693775
60	0.4848962885
61	0.4770767392
62	0.4659063969
63	0.4586168611
64	0.4513135761
65	0.4398743296
66	0.4319164557
67	0.4259036514
68	0.4177002381
69	0.4106668963
70	0.4053245589
71	0.3987666929
72	0.3920700018
73	0.3862123576
74	0.3805853793
75	0.375053234
76	0.3697568864
77	0.366173519
78	0.360396069
79	0.3543502868
80	0.3505759546
81	0.344428829
82	0.3405480126
83	0.3339799341
84	0.3284091648
85	0.3242461112
86	0.3213305521
87	0.3162559857
88	0.3112226886
89	0.3058785433
90	0.3022388071
91	0.2981041412
92	0.2927819627
93	0.2909350848
94	0.286353256
95	0.2830258643
96	0.2788948218
97	0.2761934137
98	0.27304037
99	0.2702102676
100	0.2662688767
101	0.2638949041
102	0.2613544049
103	0.2598647176
104	0.2554247151
105	0.2538417344
106	0.2514388222
107	0.249493325
108	0.2461224222
109	0.2438689574
110	0.2420695098
111	0.2398721481
112	0.2373300055
113	0.236144579
114	0.2341842546
115	0.2317244116
116	0.2297926902
117	0.2274430789
118	0.2251751745
119	0.2232358993
120	0.2218354717
121	0.2198467719
122	0.2169048028
123	0.2146452085
124	0.2139602792
125	0.2129581688
126	0.211775426
127	0.2100799049
128	0.2082047881
129	0.2058128958
130	0.2037961491
131	0.2021898596
132	0.2006086883
133	0.199307094
134	0.1979122152
135	0.1965342859
136	0.1947467717
137	0.1932053654
138	0.1919536978
139	0.191389337
140	0.1899583569
141	0.1886244634
142	0.1876340151
143	0.1862094223
144	0.185578481
145	0.18468035
146	0.1833146605
147	0.1818843591
148	0.1809346772
149	0.1796876746
150	0.1784089764
151	0.1773026057
152	0.1761032958
153	0.1745846983
154	0.1732052027
155	0.1722878328
156	0.1717662179
157	0.1708992809
158	0.170167554
159	0.1692403465
160	0.1684129734
161	0.1673872044
162	0.166698826
163	0.1658687095
164	0.1650055176
165	0.1639914003
166	0.1631208208
167	0.1619227972
168	0.1610163494
169	0.1601952118
170	0.159536836
171	0.1587959876
172	0.1581050688
173	0.1568007073
174	0.1560911528
175	0.1550174202
176	0.1546700853
177	0.153737785
178	0.1531474877
179	0.1523582255
180	0.151541398
181	0.1510878799
182	0.1503865567
183	0.1494733041
184	0.1487268691
185	0.1480110313
186	0.1473913075
187	0.1465383371
188	0.1459672981
189	0.1451232985
190	0.1446340545
191	0.1439279493
192	0.1432719116
193	0.1426593862
194	0.1424633704
195	0.1417094496
196	0.1414339174
197	0.1408856321
198	0.140431728
199	0.1397087453
200	0.1391323106
201	0.1383724917
202	0.1379193255
203	0.1371834829
204	0.1369479598
205	0.1363699927
206	0.135825904
207	0.1354671845
208	0.1352609767
209	0.1347550358
210	0.134321061
211	0.1338662042
212	0.1334164877
213	0.1329391069
214	0.1323882402
215	0.1318020685
216	0.1316286412
217	0.131220048
218	0.1308343041
219	0.1304698254
220	0.1300034054
221	0.1298494711
222	0.1296144459
223	0.1294109051
224	0.12898911
225	0.1285041829
226	0.1281049144
227	0.1277087537
228	0.1269614283
229	0.1265564716
230	0.126000429
231	0.1256583008
232	0.1252312999
233	0.1247788066
234	0.1243289111
235	0.1242675988
236	0.1239589236
237	0.1237925159
238	0.1233523152
239	0.1228938975
240	0.1225783349
241	0.1221704398
242	0.1219222948
243	0.1215951762
244	0.1211722146
245	0.1208590992
246	0.1206156039
247	0.1203461235
248	0.1200426127
249	0.1196609696
250	0.119407842
251	0.1192022631
252	0.1188366475
253	0.1186015576
254	0.1183310491
255	0.1179510753
256	0.1176931024
257	0.1174214372
258	0.1170990957
259	0.1168567902
260	0.1166709133
261	0.1163373364
