Fold,AUROC,AUPRC,Accuracy,MCC,Recall,Precision,F1_Score
Fold_1,0.6901,0.6634,0.6366,0.2739,0.6011,0.6471,0.6232
Fold_2,0.6733,0.6787,0.6066,0.2139,0.5628,0.6168,0.5886
Fold_3,0.6751,0.6611,0.6284,0.2578,0.6721,0.6181,0.6440
Fold_4,0.6350,0.6212,0.6202,0.2424,0.5574,0.6375,0.5948
