Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.5517398132077033,0.5604040158553658,0.55,0.5431034482758621,0.5779816513761468,0.56,0.10064985934452551
Fold_2,0.5877360845328231,0.6544226775095833,0.5636363636363636,0.6263736263736264,0.4789915966386555,0.5428571428571428,0.1440456974244555
Fold_3,0.5500457608786089,0.5455262887058003,0.4636363636363636,0.4514285714285714,0.7821782178217822,0.572463768115942,-0.03032232980931355
Fold_4,0.5864756158873806,0.5971463427157593,0.5753424657534246,0.6090909090909091,0.5726495726495726,0.5903083700440529,0.15072771605252464
Fold_5,0.5667894208235688,0.5778728409215114,0.4703196347031963,0.4563758389261745,0.6601941747572816,0.5396825396825397,-0.04075882310921107
