Fold,AUROC,AUPRC,Accuracy,MCC,Recall,Precision,F1_Score
Fold_1,0.7484,0.7216,0.6749,0.3506,0.6393,0.6882,0.6629
Fold_2,0.7390,0.7281,0.6694,0.3390,0.6503,0.6761,0.6630
Fold_3,0.7399,0.7004,0.6776,0.3557,0.7049,0.6684,0.6862
Fold_4,0.7329,0.7592,0.6803,0.3641,0.6120,0.7089,0.6569
