Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.6924952475411191,0.659087354432033,0.6363636363636364,0.6124031007751938,0.7247706422018348,0.6638655462184874,0.2784947180538378
Fold_2,0.679299442549297,0.7425602118106291,0.6272727272727273,0.7228915662650602,0.5042016806722689,0.594059405940594,0.2842476245091772
Fold_3,0.6897828438306016,0.6460178347905221,0.5954545454545455,0.5652173913043478,0.5148514851485149,0.538860103626943,0.1805515457722081
Fold_4,0.6760097201273672,0.6847620165349837,0.6301369863013698,0.7,0.5384615384615384,0.6086956521739131,0.2775492178818702
Fold_5,0.6585621024439235,0.6339319842573673,0.6027397260273972,0.58,0.5631067961165048,0.5714285714285714,0.2014428770084243
