Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.734106721610081,0.7173017532585764,0.674863387978142,0.6839080459770115,0.6502732240437158,0.6666666666666666,0.3501504876259268
Fold_2,0.709471766848816,0.6952099503623019,0.6502732240437158,0.6666666666666666,0.6010928961748634,0.632183908045977,0.30201094946818285
Fold_3,0.7290602884529247,0.6962424196424324,0.6530054644808743,0.6609195402298851,0.6284153005464481,0.6442577030812325,0.30638167667268595
Fold_4,0.7249992534862193,0.7237124443867755,0.6502732240437158,0.6486486486486487,0.6557377049180327,0.6521739130434783,0.3005643986607074
Fold_5,0.7545313386485114,0.7296084883612417,0.6912568306010929,0.6988636363636364,0.6721311475409836,0.6852367688022284,0.3827938093523312
