Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.6619934903998327,0.6493776291224462,0.5901639344262295,0.6187050359712231,0.46994535519125685,0.5341614906832298,0.1857777125389766
Fold_2,0.6680551822986652,0.6458777325280919,0.6202185792349727,0.6594202898550725,0.4972677595628415,0.5669781931464174,0.2480537002136374
Fold_3,0.6773268834542686,0.6589100977686737,0.6256830601092896,0.6455696202531646,0.5573770491803278,0.5982404692082112,0.2537450744433955
Fold_4,0.6647108005613783,0.6448922732217471,0.6256830601092896,0.6597222222222222,0.5191256830601093,0.581039755351682,0.25727648783204266
Fold_5,0.6761473916808505,0.6539678563279766,0.6147540983606558,0.6418918918918919,0.5191256830601093,0.5740181268882175,0.2338245923658179
