FPR	TPR
0.0	0.0
0.0	0.00546448087431694
0.0	0.01639344262295082
0.0	0.0273224043715847
0.00546448087431694	0.0273224043715847
0.00546448087431694	0.03825136612021858
0.00546448087431694	0.04371584699453552
0.01639344262295082	0.04371584699453552
0.01639344262295082	0.07103825136612021
0.02185792349726776	0.07103825136612021
0.02185792349726776	0.08743169398907104
0.03278688524590164	0.08743169398907104
0.03278688524590164	0.09836065573770492
0.03278688524590164	0.1092896174863388
0.04371584699453552	0.1092896174863388
0.04371584699453552	0.13114754098360656
0.0546448087431694	0.13114754098360656
0.0546448087431694	0.1366120218579235
0.060109289617486336	0.1366120218579235
0.060109289617486336	0.14207650273224043
0.06557377049180328	0.14207650273224043
0.06557377049180328	0.16393442622950818
0.07103825136612021	0.16393442622950818
0.07103825136612021	0.17486338797814208
0.07650273224043716	0.17486338797814208
0.07650273224043716	0.18032786885245902
0.08743169398907104	0.18032786885245902
0.09836065573770492	0.18032786885245902
0.09836065573770492	0.21311475409836064
0.09836065573770492	0.22404371584699453
0.09836065573770492	0.22950819672131148
0.10382513661202186	0.22950819672131148
0.10382513661202186	0.2459016393442623
0.1366120218579235	0.2459016393442623
0.1366120218579235	0.2568306010928962
0.1366120218579235	0.273224043715847
0.1366120218579235	0.28415300546448086
0.1366120218579235	0.3224043715846995
0.14754098360655737	0.3224043715846995
0.14754098360655737	0.32786885245901637
0.15300546448087432	0.3333333333333333
0.15300546448087432	0.33879781420765026
0.16939890710382513	0.33879781420765026
0.16939890710382513	0.3442622950819672
0.16939890710382513	0.3551912568306011
0.16939890710382513	0.36065573770491804
0.17486338797814208	0.36065573770491804
0.17486338797814208	0.3770491803278688
0.18032786885245902	0.3770491803278688
0.18032786885245902	0.3825136612021858
0.1912568306010929	0.3825136612021858
0.1912568306010929	0.39344262295081966
0.2185792349726776	0.39344262295081966
0.2185792349726776	0.3989071038251366
0.2185792349726776	0.4098360655737705
0.22404371584699453	0.4098360655737705
0.22404371584699453	0.4262295081967213
0.22950819672131148	0.4262295081967213
0.22950819672131148	0.43169398907103823
0.23497267759562843	0.43169398907103823
0.24043715846994534	0.4371584699453552
0.24043715846994534	0.44808743169398907
0.2459016393442623	0.44808743169398907
0.2459016393442623	0.45901639344262296
0.2568306010928962	0.45901639344262296
0.26229508196721313	0.45901639344262296
0.26229508196721313	0.4644808743169399
0.273224043715847	0.4644808743169399
0.273224043715847	0.46994535519125685
0.2786885245901639	0.46994535519125685
0.2786885245901639	0.47540983606557374
0.28415300546448086	0.47540983606557374
0.28415300546448086	0.4808743169398907
0.2896174863387978	0.4808743169398907
0.2896174863387978	0.48633879781420764
0.29508196721311475	0.48633879781420764
0.29508196721311475	0.5027322404371585
0.3005464480874317	0.5027322404371585
0.3114754098360656	0.5027322404371585
0.3114754098360656	0.5409836065573771
0.36065573770491804	0.5628415300546448
0.3770491803278688	0.5628415300546448
0.3770491803278688	0.5683060109289617
0.3825136612021858	0.5683060109289617
0.3825136612021858	0.5792349726775956
0.3825136612021858	0.5901639344262295
0.4207650273224044	0.5901639344262295
0.4207650273224044	0.6010928961748634
0.4207650273224044	0.6065573770491803
0.43169398907103823	0.6065573770491803
0.43169398907103823	0.6120218579234973
0.4371584699453552	0.6120218579234973
0.44808743169398907	0.6120218579234973
0.4644808743169399	0.6120218579234973
0.4644808743169399	0.6338797814207651
0.46994535519125685	0.6338797814207651
0.46994535519125685	0.6502732240437158
0.4808743169398907	0.6502732240437158
0.4808743169398907	0.6666666666666666
0.48633879781420764	0.6666666666666666
0.48633879781420764	0.6721311475409836
0.4972677595628415	0.6721311475409836
0.5191256830601093	0.6721311475409836
0.5300546448087432	0.6830601092896175
0.5409836065573771	0.6885245901639344
