Fold,AUROC,AUPRC,Accuracy,MCC,Recall,Precision,F1_Score
Fold_1,0.7397,0.7160,0.6749,0.3512,0.6284,0.6928,0.6590
Fold_2,0.7279,0.7415,0.6585,0.3177,0.6940,0.6480,0.6702
Fold_3,0.7390,0.7159,0.6831,0.3688,0.7432,0.6634,0.7010
Fold_4,0.7089,0.7041,0.6393,0.2807,0.5792,0.6584,0.6163
