Fold,AUROC,AUPRC,Accuracy,MCC,Recall,Precision,F1_Score
Fold_1,0.7568,0.7322,0.6667,0.3338,0.6393,0.6763,0.6573
Fold_2,0.7362,0.7427,0.6667,0.3343,0.7049,0.6548,0.6789
Fold_3,0.7475,0.7371,0.6749,0.3521,0.7322,0.6569,0.6925
Fold_4,0.7275,0.7649,0.6639,0.3321,0.5847,0.6948,0.6350
