iter	Logloss
0	0.6804113525
1	0.667780956
2	0.6554406439
3	0.6436395181
4	0.633289442
5	0.6227276934
6	0.6125052304
7	0.6031753196
8	0.5941304348
9	0.5857815969
10	0.5766762961
11	0.5691011694
12	0.561191739
13	0.5534453603
14	0.5461130913
15	0.5387908214
16	0.5318869949
17	0.5254918094
18	0.5192773093
19	0.5128196515
20	0.5070451536
21	0.5015869029
22	0.4963732769
23	0.4916067479
24	0.4870093536
25	0.4825536644
26	0.4782721863
27	0.4745169179
28	0.4702263397
29	0.4666250337
30	0.4624230891
31	0.4581684303
32	0.4541884556
33	0.4510232648
34	0.4471515706
35	0.4440147752
36	0.4408517459
37	0.4378878751
38	0.4349743818
39	0.4318969728
40	0.4291784128
41	0.4264943258
42	0.4236329868
43	0.421192332
44	0.4187678375
45	0.416182852
46	0.4133075368
47	0.4112070595
48	0.4085805942
49	0.406540966
50	0.4042254963
51	0.4017776081
52	0.3997257439
53	0.3979597502
54	0.3962053002
55	0.3944665558
56	0.3926235473
57	0.3908198446
58	0.3889285087
59	0.3870964307
60	0.3855307808
61	0.3836244734
62	0.3821903574
63	0.3805168437
64	0.3791122883
65	0.3771093762
66	0.3752135096
67	0.3736175368
68	0.3723208834
69	0.3707359562
70	0.3692281573
71	0.3675957199
72	0.3659146392
73	0.3643020657
74	0.3629295717
75	0.3615031023
76	0.3602872343
77	0.3590952183
78	0.357855433
79	0.3567805312
80	0.3557029946
81	0.3544986643
82	0.3533455016
83	0.3520719169
84	0.3508869535
85	0.3494220735
86	0.348345687
87	0.3472841052
88	0.346202717
89	0.3452670969
90	0.3442257783
91	0.3430431174
92	0.3421619453
93	0.3410893953
94	0.340077269
95	0.3390168349
96	0.3380127136
97	0.3371434513
98	0.3364744101
99	0.3355677779
100	0.3345932461
101	0.3335827606
102	0.332873586
103	0.3321476659
104	0.330819845
105	0.3297725475
106	0.32868842
107	0.3277929121
108	0.3268996191
109	0.3259495615
110	0.3249123744
111	0.3244373889
112	0.3236491441
113	0.3228069143
114	0.3216638856
115	0.320441957
116	0.3193854671
117	0.3183673865
118	0.317623835
119	0.3169719493
120	0.3162242661
121	0.3153459529
122	0.3147307755
123	0.3137152542
124	0.3128677933
125	0.3118918219
126	0.311094736
127	0.3106898836
128	0.310033619
129	0.3095487065
130	0.3086463961
131	0.3080705773
132	0.3073219908
133	0.3065625476
134	0.3058864323
135	0.3050617168
136	0.3040616918
137	0.3033149416
138	0.3025928843
139	0.302285412
140	0.301384231
141	0.3005204327
142	0.2997044442
143	0.2991831682
144	0.2985893483
145	0.297753999
146	0.2970573144
147	0.2964566206
148	0.2958264684
149	0.2954365292
150	0.2949408453
151	0.2944018354
152	0.2938380264
153	0.2934221565
154	0.2929634295
155	0.2924110862
156	0.2916771338
157	0.2911319837
158	0.2906009881
159	0.289783494
160	0.2892750833
161	0.2888899999
162	0.2880519782
163	0.2874026784
164	0.2869852866
165	0.2864242136
166	0.2856952088
167	0.2850147344
168	0.2844442524
169	0.2837914023
170	0.2835647529
171	0.2827573554
172	0.2822179185
173	0.2815832947
174	0.2810939328
175	0.2806427412
176	0.2799440724
177	0.2790567611
178	0.2785545927
179	0.2783094212
180	0.2778549294
181	0.2774223781
182	0.2767729385
183	0.2761754404
184	0.2755548771
185	0.2750252912
186	0.2744776952
187	0.2740119035
188	0.2733214974
189	0.2727766012
190	0.2720914565
191	0.2716794779
192	0.2709638184
193	0.2704880582
194	0.2699019787
195	0.269347152
196	0.2685363428
197	0.2676754785
198	0.2670341394
199	0.2664392088
200	0.2657412121
201	0.2651966306
202	0.2646414631
203	0.2642082857
204	0.2636500809
205	0.2631026426
206	0.2627338956
207	0.2622339323
208	0.2616168108
209	0.2611650312
210	0.2607283497
211	0.2601645645
212	0.2593561416
213	0.2587737227
214	0.2580909718
215	0.2575559839
216	0.2567566564
217	0.2563591758
218	0.2557865096
219	0.2551774943
220	0.2547374632
221	0.2540691919
222	0.2536088423
223	0.2531453769
224	0.2524793632
225	0.2521036106
226	0.2515431529
227	0.2510002384
228	0.2505782791
229	0.2499758011
230	0.2493452847
231	0.2488884518
232	0.2482076415
233	0.2477334908
234	0.2471983475
235	0.2467108632
236	0.2463201066
237	0.2457744248
238	0.2451619725
239	0.2447074942
240	0.2441445152
241	0.2436332808
242	0.2432692688
243	0.242812469
244	0.2423545506
245	0.242017133
246	0.2416412803
247	0.2413883021
248	0.2409604538
249	0.2404256356
250	0.240027345
251	0.2396317094
252	0.239178336
253	0.238786735
254	0.2383379024
255	0.2378322527
256	0.2374894414
257	0.2370519644
258	0.2365855987
259	0.2360236462
260	0.2355997805
261	0.2351568913
262	0.2348887446
263	0.2344504888
264	0.2339511978
265	0.2332168646
266	0.2327822822
267	0.2324437116
268	0.2322816411
269	0.2319352803
270	0.2316469717
271	0.2311873939
272	0.2305909341
273	0.2300205729
274	0.2295597103
275	0.2291978873
276	0.228613737
277	0.2280523895
278	0.2276483788
279	0.2273731461
280	0.2270025048
281	0.2264655886
282	0.2259148615
283	0.2255924905
284	0.2251716535
285	0.2247625793
286	0.2242058178
287	0.2237778486
288	0.2234322724
289	0.2231271767
290	0.2224751698
291	0.2221411294
292	0.2218451687
293	0.2213526594
294	0.2209396138
295	0.2204739829
296	0.2202253133
297	0.2197433649
298	0.2194339198
299	0.2193589754
300	0.2190157077
301	0.218699486
302	0.2183743407
303	0.2181241024
304	0.2178426843
305	0.2175862292
306	0.2171804012
307	0.2166600934
308	0.216041311
309	0.2155957376
310	0.2150355146
311	0.2144984744
312	0.2142197366
313	0.2138421863
314	0.2133132541
315	0.213064808
316	0.2127702392
317	0.2125992283
318	0.2123767612
319	0.2119281963
320	0.2117208134
321	0.2115964701
322	0.2114119303
323	0.2111534806
324	0.2106993356
325	0.2102218106
326	0.209604659
327	0.2094481256
328	0.2092995766
329	0.2088469131
330	0.2087367039
331	0.2086175418
332	0.208322215
333	0.2081863356
334	0.2080119284
335	0.2078139856
336	0.2075198865
337	0.2072922117
338	0.2068214793
339	0.2066704132
340	0.2064984276
341	0.2059310862
342	0.2054355673
343	0.2052335106
344	0.205079501
345	0.2049477661
346	0.2048290274
347	0.2046164138
348	0.2044872379
349	0.2040563987
350	0.2039561611
351	0.2036931322
352	0.20351963
353	0.2033665833
354	0.2031216957
355	0.2029837405
356	0.2029149971
357	0.2027875083
358	0.2024449194
359	0.2023107155
360	0.2018765563
361	0.2018037764
362	0.201663128
363	0.2015410311
364	0.2011178847
365	0.2010246771
366	0.200902214
367	0.2008365719
368	0.2007240082
369	0.2006442235
370	0.2003312537
371	0.2001650906
372	0.2000675907
373	0.1999294355
374	0.1997362975
375	0.1996744526
376	0.1995253623
377	0.1994161392
378	0.1993186905
379	0.1990316195
380	0.1987388213
381	0.1986533514
382	0.1983843748
383	0.1982929388
384	0.1980375087
385	0.1976620534
386	0.1973508832
387	0.1972231854
388	0.1967488754
389	0.196614519
390	0.1965627274
391	0.1964756229
392	0.1963502395
393	0.1960199681
394	0.1958484022
395	0.1952819011
396	0.1951342319
397	0.1948095041
398	0.1947253842
399	0.1945989974
400	0.1944806812
401	0.1943341709
402	0.1942147716
403	0.1941232611
404	0.1940112641
405	0.1936953002
406	0.1935207519
407	0.1934114552
408	0.1933391406
409	0.1932724949
410	0.1929552174
411	0.1928432843
412	0.192689683
413	0.1923320704
414	0.1922391921
415	0.1921396693
416	0.1918823511
417	0.1916027744
418	0.1914121981
419	0.1913154058
420	0.1911334017
421	0.1910009027
422	0.1906642023
423	0.1905356464
424	0.1903663244
425	0.1900421767
426	0.1899012886
427	0.1897918238
428	0.1896728293
429	0.1895214038
430	0.1894201557
431	0.1893519448
432	0.1890111667
433	0.1889179621
434	0.1887766988
435	0.1885334874
436	0.1883334434
437	0.1882296194
438	0.1877570182
439	0.1876252428
440	0.1875194087
441	0.1871354868
442	0.1870241618
443	0.1869293524
444	0.1865171028
445	0.1864203144
446	0.186232832
447	0.1856557701
448	0.1851514949
449	0.184610032
450	0.1842282926
451	0.1840396539
452	0.183892977
453	0.1837041706
454	0.1835786693
455	0.1831633493
456	0.1827549141
457	0.1822578755
458	0.1821500432
459	0.1817797386
460	0.1816849327
461	0.1813476127
462	0.181183483
463	0.1810041343
464	0.180673124
465	0.1802447295
466	0.1801461713
467	0.179638546
468	0.179336809
469	0.1790800471
470	0.1787888519
471	0.1787003016
472	0.1786307772
473	0.1785244802
474	0.1784286069
475	0.1782257834
476	0.1780744977
477	0.177965618
478	0.1775147382
479	0.1770075413
480	0.1765502843
481	0.176272718
482	0.1761764015
483	0.1758105636
484	0.1757449526
485	0.1753995924
486	0.1753435084
487	0.1752317945
488	0.1748130476
489	0.1744228289
490	0.1743326439
491	0.173823809
492	0.1737719867
493	0.1736726591
494	0.1735830608
495	0.1732784358
496	0.1731502683
497	0.1730421216
498	0.1727740552
499	0.1725326071
500	0.1724271481
501	0.1723345602
502	0.1717997041
503	0.1717403944
504	0.1713842214
505	0.1712323195
506	0.1711553475
507	0.1708183559
508	0.170356997
509	0.1699738069
510	0.1697082839
511	0.169525555
512	0.1690709273
513	0.169002636
514	0.1689395012
515	0.1686959407
516	0.1681783129
517	0.1680626794
518	0.1679782377
519	0.1678570368
520	0.1674329391
521	0.1670652163
522	0.1665533564
523	0.1662309268
524	0.1657280298
525	0.165508044
526	0.1652543808
527	0.1648179827
528	0.164445167
529	0.1640831657
530	0.1638480489
531	0.1635222745
532	0.1631738742
533	0.1628658954
534	0.1624688435
535	0.1622880726
536	0.1622512755
537	0.1621884123
538	0.1621385889
539	0.1617493593
540	0.1613759925
541	0.1610132256
542	0.1607292238
543	0.1604305873
544	0.1601245194
545	0.1599877972
546	0.1596110361
547	0.1592603283
548	0.1591677545
549	0.1589436691
550	0.1587454662
551	0.1584814626
552	0.158417764
553	0.158353176
554	0.1580683972
555	0.1576983981
556	0.1572947261
557	0.1569294584
