iter	Passed	Remaining
398	185807	125734
399	186305	125290
400	186718	124789
401	187142	124296
402	187612	123833
403	188050	123350
404	188517	122885
405	189007	122435
406	189452	121957
407	189906	121484
408	190355	121008
409	190835	120552
410	191314	120095
411	191788	119635
412	192293	119193
413	192808	118758
414	193290	118303
415	193799	117863
416	194260	117394
417	194711	116919
418	195176	116453
419	195702	116023
420	196175	115561
421	196631	115089
422	197112	114633
423	197584	114170
424	198045	113701
425	198524	113242
426	198973	112767
427	199429	112295
428	199900	111832
429	200365	111365
430	200783	110873
431	201222	110392
432	201694	109930
433	202164	109467
434	202629	109000
435	203055	108513
436	203479	108025
437	203956	107566
438	204427	107103
439	204920	106651
440	205408	106197
441	205890	105740
442	206375	105283
443	206852	104823
444	207335	104366
445	207810	103905
446	208244	103423
447	208672	102938
448	209146	102476
449	209581	101996
450	210040	101527
451	210536	101076
452	210996	100607
453	211440	100131
454	211905	99665
455	212406	99216
456	212874	98751
457	213332	98282
458	213784	97809
459	214249	97343
460	214742	96890
461	215209	96425
462	215657	95951
463	216093	95472
464	216542	94999
465	217003	94531
466	217453	94059
467	217939	93602
468	218366	93119
469	218847	92660
470	219333	92204
471	219743	91714
472	220198	91244
473	220617	90760
474	221027	90272
475	221478	89801
476	221910	89322
477	222346	88845
478	222780	88367
479	223278	87916
480	223732	87446
481	224162	86967
482	224620	86499
483	225100	86040
484	225555	85571
485	226003	85099
486	226498	84646
487	226956	84178
488	227387	83700
489	227829	83227
490	228279	82757
491	228765	82299
492	229209	81827
493	229682	81365
494	230110	80887
495	230550	80413
496	230998	79942
497	231455	79475
498	231908	79006
499	232352	78535
500	232831	78075
501	233255	77596
502	233718	77131
503	234187	76668
504	234674	76211
505	235136	75745
506	235709	75315
507	236177	74851
508	236665	74393
509	237147	73934
510	237605	73467
511	238086	73007
512	238552	72542
513	238995	72070
514	239445	71601
515	239906	71135
516	240364	70668
517	240788	70191
518	241248	69724
519	241699	69256
520	242157	68789
521	242704	68347
522	243152	67878
523	243605	67410
524	244070	66944
525	244518	66475
526	244978	66009
527	245425	65539
528	245872	65070
529	246301	64596
530	246738	64124
531	247202	63659
532	247670	63195
533	248121	62727
534	248580	62261
535	249029	61792
536	249472	61322
537	249917	60853
538	250380	60388
539	250846	59924
540	251318	59461
541	251764	58992
542	252194	58520
543	252637	58050
544	253122	57591
545	253594	57128
546	254034	56658
547	254480	56190
548	254912	55718
549	255416	55262
550	255933	54809
551	256426	54351
552	256864	53881
553	257339	53418
554	257855	52964
555	258299	52496
556	258723	52023
557	259171	51555
558	259627	51089
559	260045	50615
560	260470	50144
561	260956	49683
562	261391	49213
563	261818	48742
564	262271	48276
565	262765	47817
566	263237	47354
567	263724	46894
568	264193	46431
569	264638	45963
570	265092	45497
571	265512	45025
572	265946	44556
573	266421	44094
574	266886	43630
575	267353	43166
576	267795	42698
577	268245	42232
578	268683	41764
579	269110	41294
580	269549	40826
581	270014	40363
582	270483	39899
583	270958	39437
584	271434	38975
585	271901	38511
586	272313	38040
587	272767	37575
588	273208	37108
589	273668	36643
590	274155	36182
591	274638	35721
592	275092	35256
593	275552	34791
594	276006	34326
595	276458	33861
596	276929	33398
597	277369	32931
598	277825	32467
599	278298	32004
600	278778	31542
601	279258	31080
602	279726	30616
603	280241	30158
604	280702	29694
605	281172	29230
606	281614	28764
607	282095	28302
608	282535	27836
609	282970	27369
610	283441	26906
611	283902	26441
612	284355	25977
613	284785	25510
614	285254	25046
615	285707	24581
616	286157	24117
617	286686	23658
618	287141	23194
619	287599	22729
620	288073	22266
621	288575	21805
622	289033	21341
623	289463	20874
624	289888	20408
625	290332	19942
626	290777	19477
627	291283	19016
628	291760	18553
629	292232	18090
630	292732	17628
631	293200	17165
632	293669	16701
633	294119	16236
634	294578	15772
635	295051	15309
636	295512	14845
637	295957	14380
638	296411	13916
639	296844	13450
640	297301	12986
641	297710	12520
642	298130	12055
643	298562	11590
644	298985	11125
645	299410	10660
646	299840	10195
647	300290	9731
648	300746	9267
649	301216	8804
650	301687	8341
651	302157	7878
652	302581	7413
653	303052	6950
654	303507	6487
655	303949	6023
656	304432	5560
657	304871	5096
658	305363	4633
659	305842	4170
660	306331	3707
661	306834	3244
662	307343	2781
663	307834	2318
664	308276	1854
665	308745	1390
666	309263	927
667	309694	463
668	310168	0
