Model,AUROC,AUPRC,Accuracy,MCC,Recall,Precision,F1_Score
LR,0.6880318910687091,0.6593784903657329,0.6366120218579235,0.2741465395665704,0.5956284153005464,0.6488095238095238,0.6210826210826211
SVM,0.6731016154558211,0.6527578022374663,0.6092896174863388,0.22318871050779432,0.5081967213114754,0.636986301369863,0.5653495440729484
XGBoost,0.7551285496730269,0.7431520056710539,0.680327868852459,0.37104424344569015,0.7978142076502732,0.6460176991150443,0.7139364303178484
CatBoost,0.7522320762041268,0.7310652543165161,0.6775956284153005,0.3553823226092554,0.6612021857923497,0.6836158192090396,0.6722222222222223
LightGBM,0.7458120576905849,0.7478321279752842,0.6775956284153005,0.35733169174450535,0.6229508196721312,0.6993865030674846,0.6589595375722543
Random_Forest,0.7530383110872227,0.7261911609390808,0.6967213114754098,0.3944391371215048,0.6612021857923497,0.711764705882353,0.6855524079320113
NGBoost,0.7341664427125325,0.7195056729942011,0.6639344262295082,0.32846277824350345,0.6338797814207651,0.6744186046511628,0.6535211267605634
