Fold,AUROC,AUPRC,Accuracy,MCC,Recall,Precision,F1_Score
Fold_1,0.6804,0.6610,0.6120,0.2296,0.5027,0.6434,0.5644
Fold_2,0.6627,0.6615,0.6038,0.2111,0.5137,0.6267,0.5646
Fold_3,0.6768,0.6586,0.6175,0.2352,0.6393,0.6126,0.6257
Fold_4,0.6216,0.6052,0.6066,0.2157,0.5301,0.6258,0.5740
