iter	Logloss
0	0.67476101
1	0.6583145583
2	0.6366297738
3	0.6213165537
4	0.6058806326
5	0.5910911022
6	0.5769404153
7	0.5620252629
8	0.5500275729
9	0.5366714602
10	0.5269697637
11	0.5172949886
12	0.5097174278
13	0.4979060467
14	0.4893546374
15	0.4798822854
16	0.4701036601
17	0.465395323
18	0.4594495239
19	0.4502210669
20	0.4430128672
21	0.4363461768
22	0.4310347679
23	0.4260713383
24	0.4196155192
25	0.4159675062
26	0.4079161593
27	0.4034228682
28	0.3973608903
29	0.3902752793
30	0.3855715121
31	0.3827642527
32	0.3789708174
33	0.376665007
34	0.3739900769
35	0.3709254991
36	0.3650159059
37	0.3599001756
38	0.355704139
39	0.3529145366
40	0.3495553552
41	0.3460678667
42	0.3440644956
43	0.3400694509
44	0.3366678737
45	0.3331820978
46	0.330209749
47	0.3273967368
48	0.3228528633
49	0.3209454546
50	0.3183413692
51	0.3155407868
52	0.3130378205
53	0.3110104547
54	0.308269665
55	0.3057867688
56	0.3043108175
57	0.301670805
58	0.3003175686
59	0.2979057998
60	0.2951850656
61	0.2936514407
62	0.2910389806
63	0.2881901339
64	0.2867647355
65	0.284444297
66	0.2828078348
67	0.2808084484
68	0.2776424262
69	0.2760414541
70	0.2732280839
71	0.2714283634
72	0.2693867863
73	0.2672959922
74	0.2660062802
75	0.2639683838
76	0.2620921328
77	0.2599866841
78	0.2578455888
79	0.2559852169
80	0.2542793855
81	0.2524795093
82	0.2514446814
83	0.2495844098
84	0.248677404
85	0.2465705564
86	0.2447462969
87	0.2434889568
88	0.2424291134
89	0.2410062758
90	0.2407578504
91	0.2395812025
92	0.2381338379
93	0.2378672749
94	0.2375799536
95	0.2370416992
96	0.2369027048
97	0.2364560203
98	0.2361048827
99	0.2343279588
100	0.23416442
101	0.2340206124
102	0.2338741673
103	0.2329122316
104	0.2317090456
105	0.2293160384
106	0.2285030635
107	0.2274675386
108	0.2254464118
109	0.2233545526
110	0.2225592336
111	0.2220304652
112	0.2196219018
113	0.2175786245
114	0.2165936898
115	0.2155259451
116	0.2133310414
117	0.211549153
118	0.2108127176
119	0.2098093867
120	0.2078129328
121	0.2060055587
122	0.2045898006
123	0.2033462006
124	0.2021339501
125	0.2007643965
126	0.1999671149
127	0.1989148721
128	0.1981079541
129	0.1975707567
130	0.1962654894
131	0.1961011757
132	0.1945109022
133	0.1931615269
134	0.1915364275
135	0.1897654777
136	0.1884643213
137	0.1871953893
138	0.185958223
139	0.1850623781
140	0.1838635683
141	0.1826400504
142	0.1814231935
143	0.180137926
144	0.1793925711
145	0.1782454532
146	0.1770973
147	0.1762204764
148	0.176035452
149	0.1749607238
150	0.1738049554
151	0.1728923307
152	0.1718678473
153	0.1710704723
154	0.1701904229
155	0.1696773119
156	0.1688522895
157	0.1682110657
158	0.1681027073
159	0.1675590507
160	0.1667295241
161	0.165790718
162	0.1651887421
163	0.1643544062
164	0.1639686077
165	0.1630609547
166	0.1621754778
167	0.1614633803
168	0.1607254065
169	0.1598553454
170	0.1592349176
171	0.1586344958
172	0.1579479659
173	0.1572354865
174	0.156582743
175	0.1559197163
176	0.1554881517
177	0.1550536915
178	0.1545995312
179	0.1541538733
180	0.1538057142
181	0.1533487172
182	0.1529869414
183	0.1523976722
184	0.1518683958
185	0.1514036206
186	0.1508429622
187	0.1502549812
188	0.1497725816
189	0.149385802
190	0.1489207486
191	0.1482739189
192	0.1477500132
193	0.1473688023
194	0.1470460807
195	0.146662123
196	0.1461780535
197	0.1456641855
198	0.1454389819
199	0.1451775119
200	0.1446272005
201	0.1442234626
202	0.14382818
203	0.1433198382
204	0.14325641
205	0.1428817725
206	0.1424692809
207	0.1423956849
208	0.1420136057
209	0.1416318783
210	0.1412717281
211	0.1408495561
212	0.1405364061
213	0.1404937752
214	0.140192179
215	0.1397933972
216	0.1393975947
217	0.1390738415
218	0.1387552165
219	0.1384834213
220	0.1382069494
221	0.1381721313
222	0.1378431602
223	0.1375236546
224	0.1371945602
225	0.1368714359
226	0.1365261563
227	0.1362303603
228	0.1359908263
