Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.6538143648235393,0.6724607646280951,0.5863636363636363,0.6022727272727273,0.48623853211009177,0.5380710659898477,0.1744405689078324
Fold_2,0.6892836342457775,0.7284257858481054,0.65,0.6875,0.6470588235294118,0.6666666666666666,0.2995661134684212
Fold_3,0.7020134786587902,0.6523392293428821,0.6318181818181818,0.5980392156862745,0.6039603960396039,0.6009852216748769,0.2592393081383547
Fold_4,0.7189961454667336,0.7480312714635557,0.6757990867579908,0.7169811320754716,0.6495726495726496,0.6816143497757847,0.354801537429121
Fold_5,0.7032557750251088,0.6868734799503584,0.6164383561643836,0.5714285714285714,0.7378640776699029,0.6440677966101694,0.25191999908538526
