RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
Vma21,circRNA,Mus musculus,Adipose-derived stem cells (ADSCs),Extracellular exosome,0.694505649698505
mmu_circ_0001542,circRNA,Mus musculus,adipose-derived stem cells (ADSCs),Cytoplasm,0.694505649698505
mmu_circ_0001355,circRNA,Mus musculus,adipose-derived stem cells (ADSCs),Extracellular exosome,0.694505649698505
hsa_circ_0045598,circRNA,Homo sapiens,Adjacent normal tissue|GC tissue,Cytoplasm,0.836757224078988
Sry,circRNA,Mus musculus,adult mouse testis,Cytoplasm,0.694505649698505
hsa_circ_0001277,circRNA,Homo sapiens,AGS and BGC823 cells,Nucleus,0.836757224078988
hsa_circ_0003356,circRNA,Homo sapiens,AGS and HGC-27 cells,Nucleus,0.836757224078988
hsa_circ_0063526,circRNA,Homo sapiens,AGS and HGC-27 cells,Extracellular exosome,0.795006069178413
hsa_circ_0003356,circRNA,Homo sapiens,AGS and HGC-27 cells,Cytoplasm,0.836757224078988
hsa_circ_0001789,circRNA,Homo sapiens,AGS and HGC27 cells,Cytoplasm,0.694505649698505
hsa_circ_0000467,circRNA,Homo sapiens,AGS and HGC27 cells,Cytoplasm,0.836757224078988
hsa_circ_0002874,circRNA,Homo sapiens,AGS and HGC27 cells,Cytoplasm,0.836757224078988
hsa_circ_0002874,circRNA,Homo sapiens,AGS and HGC27 cells,Nucleus,0.694505649698505
hsa_circ_0081146,circRNA,Homo sapiens,AGS and MGC-803 cells,Cytoplasm,0.694505649698505
hsa_circ_0022454,circRNA,Homo sapiens,AGS and MKN-45 cells,Cytoplasm,0.836757224078988
hsa_circ_0007360,circRNA,Homo sapiens,AGS and MKN-7 cells,Cytoplasm,0.836757224078988
hsa_circ_0050333,circRNA,Homo sapiens,AGS and SGC7901 cells,Nucleus,0.694505649698505
hsa_circ_0001400,circRNA,Homo sapiens,AGS cell,Extracellular exosome,0.795006069178413
hsa_circ_0067934,circRNA,Homo sapiens,AGS cells,Cytoplasm,0.904945420481312
hsa_circ_0051241,circRNA,Homo sapiens,AGS cells,Cytoplasm,0.694505649698505
hsa_circ_0000284,circRNA,Homo sapiens,AGS cells and HGC-27 cells,Cytoplasm,0.943641791621929
hsa_circ_0004453,circRNA,Homo sapiens,"AGS, HGC-27 and GES-1 cells",Extracellular exosome,0.694505649698505
hsa_circ_0027495,circRNA,Homo sapiens,AGS-5FU cells,Cytoplasm,0.836757224078988
hsa_circ_0063290,circRNA,Homo sapiens,airway smooth muscle cells (ASMCs),Cytoplasm,0.694505649698505
hsa_circ_0002269,circRNA,Homo sapiens,AMC-HN-8 and TU177 cells,Cytoplasm,0.694505649698505
hsa_circ_0001257,circRNA,Homo sapiens,AML cells (OCI-AML3 and HL-60),Nucleus,0.694505649698505
hsa_circ_0001853,circRNA,Homo sapiens,Amniotic.fluid|Bronchoalveolar.lavage.fluid.sample|Cerebrospinal.fluid|Ovarian.Follicle.Fluid|Plasma|Seminal.fluid|Serum|Sputum|Urine,Extracellular exosome,0.396358685090047
hsa_circ_0001854,circRNA,Homo sapiens,Amniotic.fluid|Bronchoalveolar.lavage.fluid.sample|Cerebrospinal.fluid|Ovarian.Follicle.Fluid|Plasma|Seminal.fluid|Serum|Sputum|Urine,Extracellular exosome,0.396358685090047
hsa_circ_0001171,circRNA,Homo sapiens,Amniotic.fluid|Bronchoalveolar.lavage.fluid.sample|Cerebrospinal.fluid|Ovarian.Follicle.Fluid|Plasma|Serum|Urine,Extracellular exosome,0.396358685090047
hsa_circ_0001827,circRNA,Homo sapiens,Amniotic.fluid|Cerebrospinal.fluid|Plasma|Serum|Sputum|Urine,Extracellular exosome,0.396358685090047
hsa_circ_0000667,circRNA,Homo sapiens,Amniotic.fluid|Ovarian.Follicle.Fluid,Extracellular exosome,0.396358685090047
hsa_circ_0001588,circRNA,Homo sapiens,Amniotic.fluid|Plasma|Serum,Extracellular exosome,0.396358685090047
hsa_circ_0001049,circRNA,Homo sapiens,Amniotic.fluid|Urine,Extracellular exosome,0.396358685090047
circRNA3634,circRNA,Cervus nippon,antler chondrocytes,Cytoplasm,0.694505649698505
hsa_circ_0063313,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.795006069178413
hsa_circ_0100796,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0102240,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0104649,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0102124,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0103790,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0102180,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0104269,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_400010,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100668,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0104057,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0103019,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100501,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100755,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100362,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0104618,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0103922,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0103911,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0103532,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100199,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0101435,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0103177,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0104134,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100022,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.428658357070095
hsa_circ_0104904,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0100262,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0102050,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0102349,circRNA,Homo sapiens,apheresis platelets,Extracellular exosome,0.396358685090047
hsa_circ_0001756,circRNA,Homo sapiens,APL patient-derived cell line (NB4),Cytoplasm,0.904945420481312
hsa_circ_0006309,circRNA,Homo sapiens,ARPE-19 cells,Cytoplasm,0.694505649698505
