RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
LINC00842,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR503HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.962182309891882
SLC44A3-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00365,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
RASAL2-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00184,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR137HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.890460238360382
JPX,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
CYP4A22-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.428658357070095
MIAT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.942621128631126
LINC00115,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00937,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
TEX41,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
BSN-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00511,lncRNA,Homo sapiens,brain tissue,Nucleus,0.890460238360382
LINC00595,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00845,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00310,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC01013,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
LINC00954,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
BACH1-IT2,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC01344,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR181A1HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00159,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00276,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
PSMG3-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
FTX,lncRNA,Homo sapiens,brain tissue,Nucleus,0.959503575794327
LINC01001,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00326,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
RB1-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00574,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00384,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
FAM238C,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00665,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00342,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
SNHG15,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00472,lncRNA,Homo sapiens,brain tissue,Nucleus,0.942621128631126
RPL34-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
RGS2-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00940,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC01102,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00607,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC01134,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
LINC00896,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00987,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00636,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00882,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00870,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
DUBR,lncRNA,Homo sapiens,brain tissue,Nucleus,0.959503575794327
LINC01011,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR9-2HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
NEAT1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.969808356669669
RAB30-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.942621128631126
CPEB2-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00939,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
