Fold,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,MCC
Fold_1,0.7395114813819461,0.736456435221839,0.6775956284153005,0.7070063694267515,0.6065573770491803,0.6529411764705882,0.3588313569152436
Fold_2,0.7267311654573144,0.7325204578813951,0.6557377049180327,0.6748466257668712,0.6010928961748634,0.6358381502890174,0.3133524066067201
Fold_3,0.7318671802681477,0.706660913049949,0.6666666666666666,0.6685082872928176,0.6612021857923497,0.6648351648351648,0.3333532421509664
Fold_4,0.7297470811311176,0.7468932973600699,0.6557377049180327,0.6770186335403726,0.5956284153005464,0.6337209302325582,0.3137509049533348
Fold_5,0.7381976171280122,0.7387152343174084,0.674863387978142,0.6951219512195121,0.6229508196721312,0.6570605187319885,0.3516271213315727
